,일시,교통량,기온(°C),강수량(mm),풍속(m/s),휘발유 가격,소요시간
0,2021-01-01 01:00:00,998,-8.7,0.0,2.4,1499.33,400
1,2021-01-01 02:00:00,793,-9.1,0.0,1.6,1499.33,433
2,2021-01-01 03:00:00,700,-9.3,0.0,1.1,1499.33,433
3,2021-01-01 04:00:00,670,-9.3,0.0,0.3,1499.33,425
4,2021-01-01 05:00:00,746,-9.7,0.0,1.9,1499.33,433
5,2021-01-01 06:00:00,1218,-9.7,0.0,2.0,1499.33,433
6,2021-01-01 07:00:00,1594,-9.3,0.0,1.6,1499.33,433
7,2021-01-01 08:00:00,1873,-9.3,0.0,1.6,1499.33,433
8,2021-01-01 09:00:00,2697,-8.6,0.0,2.5,1499.33,433
9,2021-01-01 10:00:00,3883,-6.1,0.0,1.1,1499.33,501
10,2021-01-01 11:00:00,4391,-3.2,0.0,1.7,1499.33,505
11,2021-01-01 12:00:00,4394,-1.1,0.0,2.1,1499.33,542
12,2021-01-01 13:00:00,4296,-0.2,0.0,3.0,1499.33,521
13,2021-01-01 14:00:00,4974,1.4,0.0,1.6,1499.33,516
14,2021-01-01 15:00:00,5012,1.2,0.0,2.6,1499.33,507
15,2021-01-01 16:00:00,5026,-0.2,0.0,3.8,1499.33,507
16,2021-01-01 17:00:00,4688,-0.7,0.0,1.8,1499.33,500
17,2021-01-01 18:00:00,3950,-1.4,0.0,2.1,1499.33,452
18,2021-01-01 19:00:00,3386,-1.5,0.0,2.4,1499.33,452
19,2021-01-01 20:00:00,3220,-1.6,0.0,2.5,1499.33,440
20,2021-01-01 21:00:00,3234,-1.6,0.0,2.3,1499.33,435
21,2021-01-01 22:00:00,2344,-1.8,0.0,2.5,1499.33,456
22,2021-01-01 23:00:00,1393,-2.6,0.0,1.9,1499.33,506
23,2021-01-02 00:00:00,905,-3.4,0.0,2.5,1500.65,433
24,2021-01-02 01:00:00,690,-4.1,0.0,2.3,1500.65,343
25,2021-01-02 02:00:00,635,-5.0,0.0,2.7,1500.65,335
26,2021-01-02 03:00:00,576,-5.8,0.0,1.9,1500.65,433
27,2021-01-02 04:00:00,592,-6.3,0.0,1.7,1500.65,433
28,2021-01-02 05:00:00,1087,-6.6,0.0,1.1,1500.65,433
29,2021-01-02 06:00:00,1765,-6.6,0.0,2.7,1500.65,433
30,2021-01-02 07:00:00,2123,-7.4,0.0,1.5,1500.65,433
31,2021-01-02 08:00:00,2848,-8.3,0.0,1.3,1500.65,433
32,2021-01-02 09:00:00,3658,-7.6,0.0,2.0,1500.65,433
33,2021-01-02 10:00:00,4554,-6.0,0.0,2.3,1500.65,433
34,2021-01-02 11:00:00,4893,-5.3,0.0,3.2,1500.65,430
35,2021-01-02 12:00:00,4965,-3.2,0.0,3.0,1500.65,433
36,2021-01-02 13:00:00,5218,-2.3,0.0,2.5,1500.65,500
37,2021-01-02 14:00:00,5368,-1.5,0.0,4.4,1500.65,433
38,2021-01-02 15:00:00,5317,-2.3,0.0,5.2,1500.65,510
39,2021-01-02 16:00:00,5301,-1.7,0.0,3.4,1500.65,504
40,2021-01-02 17:00:00,5082,-2.3,0.0,4.5,1500.65,438
41,2021-01-02 18:00:00,4911,-3.2,0.0,2.7,1500.65,453
42,2021-01-02 19:00:00,4298,-3.8,0.0,2.8,1500.65,449
43,2021-01-02 20:00:00,3900,-4.2,0.0,2.9,1500.65,433
44,2021-01-02 21:00:00,3950,-5.0,0.0,2.3,1500.65,440
45,2021-01-02 22:00:00,3028,-5.5,0.0,2.8,1500.65,433
46,2021-01-02 23:00:00,1784,-6.1,0.0,1.9,1500.65,419
47,2021-01-03 00:00:00,1172,-6.6,0.0,3.8,1501.2,413
48,2021-01-03 01:00:00,640,-7.3,0.0,2.4,1501.2,433
49,2021-01-03 02:00:00,524,-7.7,0.0,2.0,1501.2,433
50,2021-01-03 03:00:00,396,-8.0,0.0,2.2,1501.2,433
51,2021-01-03 04:00:00,433,-8.3,0.0,1.6,1501.2,347
52,2021-01-03 05:00:00,694,-8.8,0.0,1.0,1501.2,433
53,2021-01-03 06:00:00,1081,-9.0,0.0,1.3,1501.2,433
54,2021-01-03 07:00:00,1477,-8.7,0.0,1.1,1501.2,433
55,2021-01-03 08:00:00,1925,-8.7,0.0,0.9,1501.2,433
56,2021-01-03 09:00:00,2776,-7.6,0.0,1.8,1501.2,735
57,2021-01-03 10:00:00,4135,-5.7,0.0,2.6,1501.2,642
58,2021-01-03 11:00:00,4533,-4.2,0.0,1.9,1501.2,559
59,2021-01-03 12:00:00,5180,-3.1,0.0,2.9,1501.2,537
60,2021-01-03 13:00:00,4883,-2.4,0.0,3.1,1501.2,433
61,2021-01-03 14:00:00,5470,-2.3,0.0,3.6,1501.2,534
62,2021-01-03 15:00:00,5771,-2.4,0.0,3.7,1501.2,433
63,2021-01-03 16:00:00,5493,-2.3,0.0,2.5,1501.2,541
64,2021-01-03 17:00:00,5407,-2.6,0.0,1.9,1501.2,519
65,2021-01-03 18:00:00,4696,-3.6,0.0,2.1,1501.2,507
66,2021-01-03 19:00:00,4621,-4.4,0.0,1.1,1501.2,508
67,2021-01-03 20:00:00,4630,-4.9,0.0,1.4,1501.2,504
68,2021-01-03 21:00:00,4286,-5.3,0.0,0.7,1501.2,450
69,2021-01-03 22:00:00,3597,-5.9,0.0,1.1,1501.2,501
70,2021-01-03 23:00:00,2176,-5.3,0.0,3.2,1501.2,454
71,2021-01-04 00:00:00,1365,-6.2,0.0,0.5,1502.7,433
72,2021-01-04 01:00:00,885,-6.5,0.0,1.3,1502.7,409
73,2021-01-04 02:00:00,738,-7.0,0.0,0.5,1502.7,406
74,2021-01-04 03:00:00,684,-7.1,0.0,0.9,1502.7,408
75,2021-01-04 04:00:00,1153,-7.4,0.0,1.3,1502.7,433
76,2021-01-04 05:00:00,3000,-8.1,0.0,1.7,1502.7,357
77,2021-01-04 06:00:00,6729,-8.1,0.0,2.2,1502.7,433
78,2021-01-04 07:00:00,6514,-8.3,0.0,2.4,1502.7,356
79,2021-01-04 08:00:00,5582,-8.1,0.0,2.3,1502.7,433
80,2021-01-04 09:00:00,5043,-7.6,0.0,2.5,1502.7,359
81,2021-01-04 10:00:00,4200,-5.6,0.0,1.3,1502.7,401
82,2021-01-04 11:00:00,4543,-3.0,0.0,2.4,1502.7,433
83,2021-01-04 12:00:00,5207,-1.5,0.0,2.4,1502.7,418
84,2021-01-04 13:00:00,5010,-0.6,0.0,1.9,1502.7,433
85,2021-01-04 14:00:00,5254,-0.4,0.0,1.6,1502.7,413
86,2021-01-04 15:00:00,5559,0.0,0.0,1.6,1502.7,412
87,2021-01-04 16:00:00,5565,0.2,0.0,1.3,1502.7,425
88,2021-01-04 17:00:00,5538,-0.3,0.0,1.2,1502.7,433
89,2021-01-04 18:00:00,5022,-0.9,0.0,1.0,1502.7,437
90,2021-01-04 19:00:00,4409,-0.9,0.0,1.8,1502.7,449
91,2021-01-04 20:00:00,3736,-0.7,0.0,0.7,1502.7,503
92,2021-01-04 21:00:00,3575,-0.5,0.0,2.3,1502.7,444
93,2021-01-04 22:00:00,2528,-0.6,0.0,2.6,1502.7,433
94,2021-01-04 23:00:00,1679,-1.3,0.0,1.0,1502.7,433
95,2021-01-05 00:00:00,1088,-2.1,0.0,2.4,1505.68,516
96,2021-01-05 01:00:00,903,-2.5,0.0,0.5,1505.68,433
97,2021-01-05 02:00:00,874,-2.5,0.0,1.4,1505.68,456
98,2021-01-05 03:00:00,744,-2.5,0.0,1.0,1505.68,439
99,2021-01-05 04:00:00,942,-2.7,0.0,2.2,1505.68,433
100,2021-01-05 05:00:00,2629,-3.9,0.0,2.7,1505.68,424
101,2021-01-05 06:00:00,5384,-4.2,0.0,3.7,1505.68,433
102,2021-01-05 07:00:00,6329,-4.8,0.0,2.5,1505.68,412
103,2021-01-05 08:00:00,5903,-5.6,0.0,3.1,1505.68,433
104,2021-01-05 09:00:00,4958,-5.8,0.0,3.3,1505.68,433
105,2021-01-05 10:00:00,4713,-5.2,0.0,3.9,1505.68,433
106,2021-01-05 11:00:00,4334,-4.6,0.0,4.4,1505.68,405
107,2021-01-05 12:00:00,4898,-4.6,0.0,4.4,1505.68,427
108,2021-01-05 13:00:00,5208,-4.1,0.0,4.8,1505.68,442
109,2021-01-05 14:00:00,5302,-4.2,0.0,4.3,1505.68,437
110,2021-01-05 15:00:00,5534,-3.8,0.0,4.2,1505.68,427
111,2021-01-05 16:00:00,5925,-3.6,0.0,3.3,1505.68,433
112,2021-01-05 17:00:00,5584,-4.5,0.0,3.6,1505.68,433
113,2021-01-05 18:00:00,5354,-5.7,0.0,2.8,1505.68,430
114,2021-01-05 19:00:00,4429,-6.5,0.0,1.9,1505.68,506
115,2021-01-05 20:00:00,4065,-7.1,0.0,3.6,1505.68,505
116,2021-01-05 21:00:00,3716,-7.6,0.0,4.9,1505.68,433
117,2021-01-05 22:00:00,2778,-8.5,0.0,2.5,1505.68,433
118,2021-01-05 23:00:00,1650,-9.5,0.0,0.9,1505.68,505
119,2021-01-06 00:00:00,1212,-9.9,0.0,1.8,1507.04,455
120,2021-01-06 01:00:00,902,-10.3,0.0,1.8,1507.04,359
121,2021-01-06 02:00:00,792,-10.6,0.0,1.9,1507.04,433
122,2021-01-06 03:00:00,745,-11.1,0.0,1.7,1507.04,433
123,2021-01-06 04:00:00,896,-11.2,0.0,1.3,1507.04,433
124,2021-01-06 05:00:00,2439,-11.6,0.0,1.3,1507.04,535
125,2021-01-06 06:00:00,5130,-11.7,0.0,0.8,1507.04,433
